@RELATION waitingCustomers
@ATTRIBUTE waitingCustomersAtCheckouts NUMERIC
@ATTRIBUTE strategy STRING
@ATTRIBUTE timestamp NUMERIC
@Data
52,3,24260
52,3,24260
52,3,24260
52,3,24260
52,3,24270
52,3,24270
52,3,24270
52,3,24270
51,3,24280
51,3,24280
51,3,24280
51,3,24280
51,3,24290
51,3,24290
51,3,24290
51,3,24290
50,3,24300
50,3,24300
50,3,24300
51,3,24310
51,3,24310
51,3,24310
51,3,24310
53,3,24320
53,3,24320
53,3,24320
53,3,24320
52,3,24330
52,3,24330
52,3,24330
52,3,24330
53,3,24340
53,3,24340
53,3,24340
53,3,24340
53,3,24350
53,3,24350
53,3,24350
53,3,24350
52,3,24360
52,3,24360
52,3,24360
52,3,24360
51,3,24370
51,3,24370
51,3,24370
50,3,24380
50,3,24380
50,3,24380
50,3,24380
51,3,24390
51,3,24390
51,3,24390
51,3,24390
53,3,24400
53,3,24400
53,3,24400
53,3,24400
53,3,24410
53,3,24410
53,3,24410
50,3,24420
50,3,24420
50,3,24420
50,3,24420
51,3,24430
51,3,24430
51,3,24430
51,3,24430
52,3,24440
52,3,24440
52,3,24440
52,3,24440
51,3,24450
51,3,24450
51,3,24450
51,3,24450
51,3,24460
51,3,24460
51,3,24460
51,3,24460
50,3,24470
50,3,24470
50,3,24470
50,3,24470
52,3,24480
52,3,24480
52,3,24480
52,3,24480
52,3,24490
52,3,24490
52,3,24490
52,3,24490
52,3,24500
52,3,24500
52,3,24500
52,3,24500
52,3,24510
52,3,24510
52,3,24510
52,3,24510
53,3,24520
53,3,24520
53,3,24520
53,3,24520
52,3,24530
52,3,24530
52,3,24530
52,3,24530
53,3,24540
53,3,24540
53,3,24540
53,3,24540
54,3,24550
54,3,24550
54,3,24550
54,3,24550
52,3,24560
52,3,24560
52,3,24560
52,3,24560
52,3,24570
52,3,24570
52,3,24570
52,3,24570
52,3,24580
52,3,24580
52,3,24580
52,3,24580
49,3,24590
49,3,24590
49,3,24590
49,3,24590
51,3,24600
51,3,24600
51,3,24600
51,3,24600
51,3,24610
51,3,24610
51,3,24610
51,3,24610
52,3,24620
52,3,24620
52,3,24620
52,3,24620
53,3,24630
53,3,24630
53,3,24630
53,3,24630
52,3,24640
52,3,24640
52,3,24640
52,3,24640
52,3,24650
52,3,24650
52,3,24650
52,3,24650
52,3,24660
52,3,24660
52,3,24660
52,3,24660
51,3,24670
51,3,24670
51,3,24670
51,3,24670
52,3,24680
52,3,24680
52,3,24680
52,3,24680
51,3,24690
51,3,24690
51,3,24690
51,3,24690
51,3,24700
51,3,24700
51,3,24700
53,3,24710
53,3,24710
53,3,24710
53,3,24710
51,3,24720
51,3,24720
51,3,24720
50,3,24730
50,3,24730
50,3,24730
50,3,24730
53,3,24740
53,3,24740
53,3,24740
53,3,24740
53,3,24750
53,3,24750
53,3,24750
53,3,24750
52,3,24760
52,3,24760
52,3,24760
52,3,24760
53,3,24770
53,3,24770
53,3,24770
53,3,24770
52,3,24780
52,3,24780
52,3,24780
52,3,24780
53,3,24790
53,3,24790
53,3,24790
53,3,24790
54,3,24800
54,3,24800
54,3,24800
54,3,24800
53,3,24810
53,3,24810
53,3,24810
53,3,24810
52,3,24820
52,3,24820
52,3,24820
52,3,24820
52,3,24830
52,3,24830
52,3,24830
52,3,24830
53,3,24840
53,3,24840
53,3,24840
53,3,24840
53,3,24850
53,3,24850
53,3,24850
53,3,24850
51,3,24860
51,3,24860
51,3,24860
51,3,24860
53,3,24870
53,3,24870
53,3,24870
53,3,24870
52,3,24880
52,3,24880
52,3,24880
52,3,24880
53,3,24890
53,3,24890
53,3,24890
53,3,24890
52,3,24900
52,3,24900
52,3,24900
52,3,24900
53,3,24910
53,3,24910
53,3,24910
53,3,24910
53,3,24920
53,3,24920
53,3,24920
53,3,24920
54,3,24930
54,3,24930
54,3,24930
54,3,24930
51,3,24940
51,3,24940
51,3,24940
51,3,24940
52,3,24950
52,3,24950
52,3,24950
52,3,24950
53,3,24960
53,3,24960
53,3,24960
53,3,24960
51,3,24970
51,3,24970
51,3,24970
51,3,24970
52,3,24980
52,3,24980
52,3,24980
52,3,24980
53,3,24990
53,3,24990
53,3,24990
53,3,24990
52,3,25000
52,3,25000
52,3,25000
52,3,25000
50,3,25010
50,3,25010
50,3,25010
50,3,25010
52,3,25020
52,3,25020
52,3,25020
52,3,25020
52,3,25030
52,3,25030
52,3,25030
52,3,25030
53,3,25040
53,3,25040
53,3,25040
53,3,25040
53,3,25050
53,3,25050
53,3,25050
53,3,25050
52,3,25060
52,3,25060
52,3,25060
52,3,25060
52,3,25070
52,3,25070
52,3,25070
52,3,25070
52,3,25080
52,3,25080
52,3,25080
52,3,25080
53,3,25090
53,3,25090
53,3,25090
53,3,25090
53,3,25100
53,3,25100
53,3,25100
53,3,25100
55,3,25110
55,3,25110
55,3,25110
55,3,25110
54,3,25120
54,3,25120
54,3,25120
54,3,25120
52,3,25130
52,3,25130
52,3,25130
53,3,25140
53,3,25140
53,3,25140
53,3,25140
53,3,25150
53,3,25150
53,3,25150
53,3,25150
54,3,25160
54,3,25160
54,3,25160
54,3,25160
54,3,25170
54,3,25170
54,3,25170
54,3,25170
54,3,25180
54,3,25180
54,3,25180
54,3,25180
51,3,25190
51,3,25190
51,3,25190
53,3,25200
53,3,25200
53,3,25200
53,3,25200
53,3,25210
53,3,25210
53,3,25210
53,3,25210
52,3,25220
52,3,25220
52,3,25220
52,3,25220
50,3,25230
50,3,25230
50,3,25230
50,3,25230
50,3,25240
50,3,25240
50,3,25240
50,3,25240
51,3,25250
51,3,25250
51,3,25250
51,3,25250
52,3,25260
52,3,25260
52,3,25260
52,3,25260
51,3,25270
51,3,25270
51,3,25270
51,3,25270
50,3,25280
50,3,25280
50,3,25280
50,3,25280
50,3,25290
50,3,25290
50,3,25290
50,3,25290
50,3,25300
50,3,25300
50,3,25300
50,3,25300
52,3,25310
52,3,25310
52,3,25310
52,3,25310
50,3,25320
50,3,25320
50,3,25320
50,3,25320
51,3,25330
51,3,25330
51,3,25330
51,3,25330
52,3,25340
52,3,25340
52,3,25340
52,3,25340
52,3,25350
52,3,25350
52,3,25350
